,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Birhor,0.003225,-0.227084,-0.172868,0.114809,-0.009574,0.063308,-0.006176,0.011205,0.082491,0.050236,0.019649,0.003988,-0.004451,0.013739,-0.019777,-0.023549,0.015074,-0.004441,-0.003638,0.028006,0.000957,0.01861,-0.005019,0.010149,0.002701
Blatterhole_HG,0.125205,0.123895,0.157259,0.138891,0.130486,0.032072,0.01081,0.026537,0.073015,0.013303,-0.016888,-0.01139,0.017988,-0.008257,0.037866,0.04455,0.007432,0.008868,-0.011564,0.040269,0.073495,0.010758,-0.035372,-0.108811,0.014849
Blatterhole_MN,0.130327,0.153345,0.089189,0.028909,0.105712,0.003068,0.001293,0.013384,0.072401,0.059227,0.000325,0.005021,-0.010852,-0.011147,0.007668,0.025059,0.010366,0.004181,0.00352,0.013632,0.032505,0.006863,-0.023972,-0.059044,0.007724
Bolivian_Cochabamba,0.052359,-0.271146,0.111628,0.088825,-0.096633,-0.022311,-0.275667,-0.323986,-0.010635,-0.014761,-0.004547,0.003897,-0.002379,0.020231,-0.004886,0.002254,0.002347,-0.000127,-0.006913,-0.003502,0.004866,0.009274,-0.006039,-0.002289,0.00467
Bolivian_LaPaz,0.056912,-0.302628,0.116405,0.09044,-0.114483,-0.017663,-0.291883,-0.35137,-0.008999,-0.010327,-0.004655,-0.002947,0.001883,0.021469,-0.011853,0.005746,0.006041,-0.005405,-0.000922,0.000459,-0.002204,0.005193,-0.002752,-0.000843,-0.002355
Bolivian_Pando,0.053497,-0.262684,0.110748,0.083765,-0.096531,-0.013294,-0.267129,-0.323756,-0.011658,-0.007411,-0.00498,-0.00055,-0.000545,0.023212,-0.007465,-0.000133,-4.3e-05,0.002956,4.2e-05,0.001667,-0.001414,0.004245,-0.000698,0.001245,-0.001357
Boncuklu_N,0.119514,0.165531,0.009051,-0.06783,0.058165,-0.036814,0.00329,-0.006692,0.027202,0.070708,0.00682,0.013488,-0.026908,0.000688,-0.03963,-0.003182,0.028424,0.004054,0.012947,-0.018509,-0.015722,0.006925,-0.003574,-0.004097,-0.00455
Bonda,0.005312,-0.264038,-0.160653,0.095501,0.016926,0.066004,-0.005405,0.008615,0.07322,0.042704,0.031882,0.005945,-0.003816,0.017111,-0.020449,-0.023513,0.009692,-0.000296,-0.002263,0.03139,-0.000582,0.020856,-0.010435,0.012291,0.012893
Bosnian,0.129075,0.134862,0.044953,0.024807,0.031206,0.009873,0.004841,0.005215,-0.002413,-0.001859,0.000422,-0.002817,0.00556,0.016239,-0.012541,0.001008,0.006676,-0.000583,0.004827,0.003026,-0.005091,-0.003438,0.007518,0.001229,-0.001629
Botai,0.101682,-0.083273,0.090886,0.177328,-0.084426,0.040067,-0.042694,-0.049998,-0.031838,-0.078058,0.026469,-0.007244,0.02438,-0.067114,0.024656,0.019977,-0.011039,-0.000296,-0.001341,-0.000542,-0.034938,0.019784,0.022431,0.006186,-0.006107
